                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.78408,                0.59267,                 1.0343,                0.91863,                0.92675,                0.97105,                0.79302,                0.75277,                0.48538,                 1.0738,               0.009307,               0.009307,               0.009307
                     37,                0.77843,                0.56955,                 1.0294,                0.85221,                0.87482,                 0.9398,                 0.7608,                0.76914,                0.65458,                 1.0828,              0.0092872,              0.0092872,              0.0092872
                     38,                0.78378,                0.55147,                 1.0276,                0.87203,                0.85386,                0.92502,                0.74076,                0.79191,                0.65261,                 1.0937,              0.0092674,              0.0092674,              0.0092674
                     39,                0.78627,                0.56877,                 1.0272,                0.88876,                0.88035,                0.96106,                0.74727,                0.86123,                0.59742,                 1.1379,              0.0092476,              0.0092476,              0.0092476
                     40,                0.77941,                0.61009,                 1.0331,                0.89088,                0.87116,                0.94748,                0.76185,                0.80262,                0.56126,                 1.1015,              0.0092278,              0.0092278,              0.0092278
                     41,                0.76448,                0.55028,                 1.0269,                 0.8758,                0.87927,                0.94316,                0.77099,                0.75542,                0.58095,                  1.071,               0.009208,               0.009208,               0.009208
                     42,                0.74735,                0.53036,                  1.018,                0.87323,                0.89131,                0.94272,                0.75333,                0.81173,                0.59716,                 1.1067,              0.0091882,              0.0091882,              0.0091882
                     43,                0.76001,                0.51704,                 1.0224,                0.84149,                0.83312,                0.90183,                0.72618,                0.78025,                0.65923,                 1.0866,              0.0091684,              0.0091684,              0.0091684
                     44,                 0.7619,                0.54376,                  1.025,                0.88837,                0.91383,                0.96488,                 0.7724,                0.77347,                 0.5222,                 1.0908,              0.0091486,              0.0091486,              0.0091486
                     45,                0.77107,                0.56679,                 1.0325,                0.75733,                0.84211,                0.91402,                0.73355,                0.76691,                0.79434,                 1.0836,              0.0091288,              0.0091288,              0.0091288
                     46,                 0.7503,                 0.5281,                 1.0218,                 0.9493,                 0.9424,                0.97836,                0.80459,                0.73214,                0.43301,                 1.0569,               0.009109,               0.009109,               0.009109
                     47,                0.75821,                0.52641,                 1.0181,                0.92316,                0.91354,                0.97402,                0.77031,                0.81473,                 0.5164,                 1.1096,              0.0090892,              0.0090892,              0.0090892
                     48,                0.77297,                0.55474,                 1.0271,                0.91442,                0.90605,                0.96162,                0.77332,                0.79224,                0.52231,                 1.0929,              0.0090694,              0.0090694,              0.0090694
                     49,                0.75732,                0.52241,                 1.0222,                0.71827,                0.78894,                0.84083,                0.68877,                0.74721,                 1.1752,                 1.0673,              0.0090496,              0.0090496,              0.0090496
                     50,                0.75595,                0.53881,                 1.0175,                0.89122,                0.90394,                0.95243,                0.76514,                0.78541,                0.62471,                 1.0937,              0.0090298,              0.0090298,              0.0090298
                     51,                0.76048,                0.55479,                 1.0213,                0.86942,                0.92097,                0.96473,                0.77694,                0.75951,                0.54634,                 1.0781,                0.00901,                0.00901,                0.00901
                     52,                0.75581,                0.51332,                 1.0213,                0.82855,                0.87073,                0.94376,                0.74556,                0.79495,                0.65891,                 1.0987,              0.0089902,              0.0089902,              0.0089902
                     53,                0.73644,                0.51733,                 1.0131,                0.93377,                 0.9285,                0.97221,                0.79296,                0.73991,                0.47466,                  1.063,              0.0089704,              0.0089704,              0.0089704
                     54,                0.73693,                0.52275,                 1.0065,                0.90759,                 0.9186,                0.96769,                0.79588,                 0.7423,                0.49662,                 1.0647,              0.0089506,              0.0089506,              0.0089506
                     55,                0.74868,                0.50409,                 1.0151,                0.89538,                0.93381,                0.97023,                0.79843,                0.74505,                0.48885,                 1.0627,              0.0089308,              0.0089308,              0.0089308
                     56,                0.75275,                0.51597,                 1.0167,                0.89287,                0.92571,                0.94853,                0.77891,                0.74137,                0.57804,                 1.0607,               0.008911,               0.008911,               0.008911
                     57,                0.74139,                0.51906,                 1.0157,                0.89336,                0.95369,                0.97157,                0.79157,                0.75388,                0.47553,                 1.0703,              0.0088912,              0.0088912,              0.0088912
                     58,                 0.7313,                0.49355,                 1.0026,                 0.9061,                0.93442,                0.97291,                0.79752,                0.74416,                0.46796,                 1.0621,              0.0088714,              0.0088714,              0.0088714
                     59,                0.73428,                0.48078,                  1.008,                0.91769,                0.92921,                0.97155,                 0.7979,                0.74532,                0.47858,                 1.0737,              0.0088516,              0.0088516,              0.0088516
                     60,                 0.7278,                0.49916,                 1.0035,                0.91484,                 0.8922,                0.96067,                0.76945,                0.75292,                0.57451,                 1.0744,              0.0088318,              0.0088318,              0.0088318
                     61,                0.72429,                0.49665,                 0.9995,                0.93786,                0.93683,                0.97903,                0.78656,                0.75933,                0.42962,                 1.0777,               0.008812,               0.008812,               0.008812
                     62,                0.72744,                0.47851,                 1.0075,                0.90166,                0.90646,                 0.9569,                0.78395,                0.74846,                0.59137,                 1.0754,              0.0087922,              0.0087922,              0.0087922
                     63,                0.72567,                0.47671,                 1.0044,                0.88846,                0.92706,                0.96715,                0.77436,                0.77035,                0.52544,                  1.091,              0.0087724,              0.0087724,              0.0087724
                     64,                0.72656,                0.47632,                 1.0055,                0.94732,                 0.9576,                0.98033,                0.80809,                0.73408,                0.39519,                 1.0617,              0.0087526,              0.0087526,              0.0087526
                     65,                0.73476,                0.46078,                 1.0079,                0.92437,                0.92714,                0.97024,                0.79145,                0.76151,                0.54445,                 1.0749,              0.0087328,              0.0087328,              0.0087328
                     66,                0.71893,                0.46373,                0.99981,                0.86002,                0.88266,                0.91176,                0.74142,                0.74129,                0.65935,                 1.0638,               0.008713,               0.008713,               0.008713
                     67,                0.72367,                0.46441,                 0.9977,                0.92585,                0.94248,                0.97786,                0.80377,                0.74024,                0.44532,                 1.0615,              0.0086932,              0.0086932,              0.0086932
                     68,                0.71797,                0.46247,                0.99762,                 0.9427,                0.93066,                0.96948,                 0.7976,                 0.7341,                0.44252,                 1.0564,              0.0086734,              0.0086734,              0.0086734
                     69,                0.72357,                0.47491,                0.99974,                0.90881,                0.92885,                0.96125,                0.77533,                0.75574,                0.49085,                 1.0754,              0.0086536,              0.0086536,              0.0086536
