                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5773,                  3.329,                 1.5911,                0.48763,                 0.4629,                0.44922,                 0.2847,                 1.2392,                  2.033,                   1.41,              7.145e-05,              7.145e-05,              7.145e-05
                      1,                 1.3104,                 2.1228,                 1.3662,                0.34333,                0.62105,                 0.4824,                0.31705,                   1.07,                 2.6032,                 1.2865,             0.00015563,             0.00015563,             0.00015563
                      2,                 1.2138,                 1.6188,                 1.3122,                0.57782,                0.69744,                0.66815,                0.45849,                  1.111,                  1.968,                  1.309,             0.00023812,             0.00023812,             0.00023812
                      3,                  1.041,                 1.1896,                 1.1631,                0.61143,                 0.7253,                0.79331,                0.54573,                 1.0582,                 1.7635,                 1.2396,             0.00031891,             0.00031891,             0.00031891
                      4,                 1.0645,                 1.1783,                 1.1843,                0.69213,                0.54954,                0.67338,                0.47698,                  1.028,                 1.7222,                 1.2201,               0.000398,               0.000398,               0.000398
                      5,                 1.0114,                 1.0623,                 1.1473,                0.50777,                 0.7969,                0.70424,                0.47067,                 1.0534,                 2.7776,                 1.2408,             0.00047539,             0.00047539,             0.00047539
                      6,                  1.087,                 1.2579,                 1.2092,                 0.6255,                0.74166,                0.70857,                0.48988,                 1.0309,                  1.592,                 1.2346,             0.00055109,             0.00055109,             0.00055109
                      7,                 1.0394,                 1.0066,                 1.1123,                0.33699,                0.68732,                0.48495,                0.29159,                 1.2103,                 4.0458,                 1.3803,             0.00062509,             0.00062509,             0.00062509
                      8,                 1.0479,                0.94243,                  1.108,                0.55797,                0.63629,                0.57861,                0.32337,                 1.3565,                 1.9212,                 1.4813,             0.00069739,             0.00069739,             0.00069739
                      9,                 1.0593,                0.90136,                 1.1518,                0.43415,                0.63037,                0.46814,                0.27837,                 1.2821,                 2.8513,                 1.4161,             0.00076799,             0.00076799,             0.00076799
                     10,                 1.0592,                0.89554,                 1.1318,                0.36952,                0.48168,                0.39044,                0.22677,                 1.2186,                 2.5794,                 1.3353,             0.00083689,             0.00083689,             0.00083689
                     11,                 1.0311,                0.90176,                 1.1386,                0.58821,                0.67156,                 0.6581,                0.41663,                 1.1643,                 1.6438,                 1.3748,              0.0009041,              0.0009041,              0.0009041
                     12,                 1.0321,                0.90744,                 1.1148,                0.56109,                0.70669,                 0.6414,                0.42446,                 1.2618,                  1.532,                 1.4159,             0.00096961,             0.00096961,             0.00096961
                     13,                 1.0559,                0.90029,                 1.1337,                0.61852,                0.68356,                0.70547,                0.43506,                 1.3686,                 2.0897,                 1.5047,              0.0010334,              0.0010334,              0.0010334
                     14,                0.98996,                 0.8144,                 1.0981,                0.73879,                0.64541,                0.72228,                0.47936,                 1.3227,                 2.0688,                 1.5164,              0.0010955,              0.0010955,              0.0010955
                     15,                0.99299,                0.81779,                 1.1169,                0.63658,                0.81306,                0.64969,                0.43763,                 1.1296,                  3.362,                 1.3846,               0.001156,               0.001156,               0.001156
                     16,                 0.9604,                  0.755,                 1.0959,                0.69055,                0.69699,                0.58984,                 0.3842,                  1.207,                 2.6705,                 1.3603,              0.0012026,              0.0012026,              0.0012026
                     17,                0.96232,                0.74513,                 1.0802,                0.75587,                0.75991,                0.75241,                0.47888,                 1.2383,                 1.2459,                 1.3466,              0.0012026,              0.0012026,              0.0012026
                     18,                 1.0251,                0.82919,                 1.1248,                0.70187,                0.63465,                0.67012,                0.39707,                 1.3525,                 1.3478,                 1.4425,              0.0011885,              0.0011885,              0.0011885
                     19,                0.98794,                 0.7639,                 1.1101,                0.73318,                0.69814,                0.71088,                0.45864,                 1.3307,                 1.9103,                 1.4688,              0.0011744,              0.0011744,              0.0011744
                     20,                0.99639,                0.74753,                 1.1197,                0.74797,                0.62024,                0.54496,                0.35173,                  1.344,                 2.4644,                 1.4489,              0.0011602,              0.0011602,              0.0011602
                     21,                0.96431,                0.70608,                 1.0884,                0.76076,                0.57174,                 0.4923,                0.31597,                 1.1911,                 2.0887,                 1.3512,              0.0011461,              0.0011461,              0.0011461
                     22,                0.92089,                0.69927,                 1.0639,                0.70087,                0.75333,                0.82769,                0.58239,                 1.0631,                 1.3034,                 1.2229,              0.0011319,              0.0011319,              0.0011319
                     23,                0.89154,                0.69775,                 1.0369,                0.85374,                0.74936,                0.88301,                 0.6436,                0.99027,                 1.0234,                 1.1739,              0.0011178,              0.0011178,              0.0011178
                     24,                0.92342,                0.72075,                 1.0657,                0.80675,                0.81706,                0.88464,                 0.6485,                0.94781,                0.91326,                 1.1397,              0.0011036,              0.0011036,              0.0011036
                     25,                0.93005,                0.70016,                 1.0726,                0.88365,                 0.8822,                 0.9324,                 0.6735,                0.95293,                 0.8117,                 1.1718,              0.0010895,              0.0010895,              0.0010895
                     26,                0.94645,                0.69182,                 1.0677,                 0.8166,                0.83768,                0.86205,                0.59853,                 1.0268,                0.96364,                 1.2176,              0.0010753,              0.0010753,              0.0010753
                     27,                0.87509,                 0.6956,                 1.0335,                0.83874,                 0.7488,                0.86859,                0.60498,                 1.1625,                 1.0931,                 1.3883,              0.0010612,              0.0010612,              0.0010612
                     28,                  0.876,                0.62636,                 1.0436,                0.85025,                 0.7705,                0.88285,                0.61232,                 1.0995,                0.91053,                 1.3091,               0.001047,               0.001047,               0.001047
                     29,                0.87777,                0.61126,                 1.0208,                0.79501,                0.89034,                0.90938,                0.65327,                 1.0167,                0.70494,                 1.2106,              0.0010329,              0.0010329,              0.0010329
                     30,                0.87337,                0.59285,                 1.0242,                0.84719,                0.85694,                0.92076,                0.66144,                0.99296,                0.72971,                 1.1916,              0.0010187,              0.0010187,              0.0010187
                     31,                0.87385,                0.62286,                   1.03,                0.85259,                0.79771,                0.88066,                0.62065,                 1.0746,                0.94935,                 1.2691,              0.0010046,              0.0010046,              0.0010046
                     32,                 0.9272,                0.62831,                 1.0359,                0.86128,                0.80347,                0.89054,                0.62763,                 1.0921,                0.91028,                 1.2788,             0.00099044,             0.00099044,             0.00099044
                     33,                0.86505,                0.61203,                 1.0256,                  0.925,                0.87212,                0.94952,                0.70222,                0.93478,                0.63455,                 1.1601,             0.00097629,             0.00097629,             0.00097629
                     34,                0.86281,                0.59787,                 1.0298,                0.88447,                0.81648,                0.95012,                0.69987,                0.89636,                0.68453,                 1.1252,             0.00096215,             0.00096215,             0.00096215
                     35,                0.87141,                0.61273,                 1.0417,                0.80953,                0.76681,                0.89828,                0.66053,                0.92842,                0.97469,                 1.1321,               0.000948,               0.000948,               0.000948
                     36,                0.83104,                0.59129,                 1.0151,                0.81967,                0.71804,                 0.8368,                0.60136,                      1,                 1.0171,                 1.2029,             0.00093385,             0.00093385,             0.00093385
                     37,                0.80075,                 0.5711,                 1.0028,                0.70416,                0.80735,                0.76621,                0.54073,                 1.0203,                 1.0871,                 1.2104,              0.0009197,              0.0009197,              0.0009197
                     38,                0.86408,                 0.5945,                 1.0184,                 0.8142,                 0.8524,                0.88391,                 0.6469,                0.92782,                0.75952,                 1.1532,             0.00090556,             0.00090556,             0.00090556
                     39,                0.85994,                0.57065,                 1.0068,                0.86033,                 0.8913,                 0.9229,                0.67188,                 0.9558,                0.73857,                 1.1534,             0.00089141,             0.00089141,             0.00089141
                     40,                0.83926,                0.58004,                 1.0279,                0.81294,                0.89875,                0.91015,                 0.6509,                0.95417,                0.72787,                 1.1499,             0.00087726,             0.00087726,             0.00087726
                     41,                0.81994,                0.56751,                 1.0132,                0.88974,                0.87849,                0.92969,                0.68697,                0.94919,                0.67742,                 1.1384,             0.00086312,             0.00086312,             0.00086312
                     42,                 0.7949,                0.55646,                0.99852,                0.89317,                0.89672,                0.94335,                0.70821,                0.92266,                0.66642,                 1.1079,             0.00084897,             0.00084897,             0.00084897
                     43,                0.77843,                0.53747,                 0.9863,                0.92612,                0.90758,                0.95194,                0.70845,                 0.9571,                0.63503,                 1.1194,             0.00083482,             0.00083482,             0.00083482
                     44,                0.79131,                 0.5491,                 1.0079,                0.92059,                0.85276,                0.94121,                0.69292,                0.95622,                0.61718,                 1.1186,             0.00082067,             0.00082067,             0.00082067
                     45,                0.75667,                0.52075,                 0.9636,                0.85317,                0.75685,                0.88569,                0.64392,                0.95188,                0.77815,                  1.138,             0.00080653,             0.00080653,             0.00080653
                     46,                0.78631,                0.51666,                0.98881,                0.87385,                0.78543,                0.89341,                0.64615,                 0.9556,                 0.7734,                 1.1348,             0.00079238,             0.00079238,             0.00079238
