                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.67481,                0.63371,                0.93549,                 0.9054,                0.92601,                0.96345,                0.78588,                0.78174,                0.69862,                0.99171,             0.00055261,             0.00055261,             0.00055261
                     36,                 0.6503,                0.64781,                0.92739,                0.90178,                0.91479,                0.96029,                 0.7651,                0.81759,                0.69604,                 1.0119,             0.00054437,             0.00054437,             0.00054437
                     37,                0.67645,                0.65985,                0.93117,                0.82434,                0.90276,                0.93562,                0.76127,                0.79445,                0.83679,                 1.0013,             0.00053612,             0.00053612,             0.00053612
                     38,                0.63864,                0.61035,                0.91653,                0.87154,                0.94605,                0.96806,                0.79766,                0.76958,                0.64935,                 1.0016,             0.00052787,             0.00052787,             0.00052787
                     39,                0.63696,                0.58127,                0.92296,                0.85647,                0.90362,                0.94007,                0.76503,                0.78148,                0.74271,                0.98246,             0.00051963,             0.00051963,             0.00051963
                     40,                0.65429,                0.61278,                0.92667,                0.85982,                0.91131,                 0.9583,                0.78669,                0.78228,                0.74618,                 0.9971,             0.00051138,             0.00051138,             0.00051138
                     41,                0.62458,                0.59894,                0.91282,                0.88886,                0.91403,                0.95505,                0.78605,                0.78217,                0.70738,                0.99652,             0.00050313,             0.00050313,             0.00050313
                     42,                 0.6582,                0.63212,                0.93135,                0.69683,                0.83861,                0.89118,                0.72282,                0.77759,                 1.1922,                0.99013,             0.00049489,             0.00049489,             0.00049489
                     43,                0.63674,                0.60253,                0.92341,                0.90886,                  0.916,                0.97265,                0.78548,                0.79024,                0.68758,                0.99859,             0.00048664,             0.00048664,             0.00048664
                     44,                0.63775,                0.56957,                0.91626,                0.88693,                0.97324,                0.97862,                0.78828,                0.78519,                0.62215,                 1.0077,             0.00047839,             0.00047839,             0.00047839
                     45,                0.64198,                0.56292,                0.91773,                0.86678,                0.97112,                0.96686,                0.78459,                0.77498,                 0.6395,                 1.0096,             0.00047015,             0.00047015,             0.00047015
                     46,                0.62005,                0.52971,                0.91268,                0.92404,                0.91554,                0.96745,                0.78659,                0.78127,                0.62192,                 1.0115,              0.0004619,              0.0004619,              0.0004619
                     47,                0.61781,                0.53607,                0.91038,                0.84289,                0.89613,                0.94925,                0.76442,                0.79431,                0.80687,                 1.0103,             0.00045365,             0.00045365,             0.00045365
                     48,                0.60275,                0.53059,                0.91542,                 0.9041,                0.93725,                0.97268,                 0.7814,                0.79383,                0.64581,                0.99664,             0.00044541,             0.00044541,             0.00044541
                     49,                0.60072,                0.53374,                0.90851,                0.87633,                0.92311,                0.97177,                 0.7924,                0.76673,                0.64882,                0.98747,             0.00043716,             0.00043716,             0.00043716
                     50,                0.62647,                0.56403,                0.91607,                0.89328,                0.94034,                0.97224,                0.79335,                0.78089,                0.62239,                 1.0011,             0.00042891,             0.00042891,             0.00042891
                     51,                0.60254,                0.52749,                0.91493,                0.85656,                0.92597,                0.96972,                0.78942,                0.80156,                0.69543,                 1.0265,             0.00042066,             0.00042066,             0.00042066
                     52,                0.59806,                0.51439,                0.90064,                0.90021,                0.90855,                0.96231,                0.78109,                0.80486,                0.64705,                 1.0389,             0.00041242,             0.00041242,             0.00041242
                     53,                0.59789,                0.50914,                0.91235,                0.91114,                0.93605,                0.97141,                0.78637,                0.82002,                 0.5938,                 1.0193,             0.00040417,             0.00040417,             0.00040417
                     54,                0.60743,                0.50381,                0.90302,                0.92642,                0.92632,                0.97097,                0.78968,                0.78577,                0.59412,                0.99485,             0.00039592,             0.00039592,             0.00039592
                     55,                0.58096,                0.50935,                 0.8951,                0.92748,                0.93025,                0.97677,                0.78982,                0.77421,                0.56231,                 1.0021,             0.00038768,             0.00038768,             0.00038768
                     56,                0.58718,                0.48851,                0.90509,                0.89214,                0.94455,                0.96702,                0.79519,                0.77527,                0.60952,                 1.0131,             0.00037943,             0.00037943,             0.00037943
                     57,                0.57486,                0.46981,                0.89803,                0.92196,                0.95043,                0.97634,                0.80561,                0.76831,                0.54045,                 1.0068,             0.00037118,             0.00037118,             0.00037118
                     58,                0.56119,                0.46323,                0.89062,                0.93779,                0.94874,                0.97848,                0.80391,                0.78418,                  0.551,                0.99985,             0.00036294,             0.00036294,             0.00036294
                     59,                0.55965,                0.46571,                0.90032,                0.90773,                0.91732,                0.97142,                0.79939,                0.76045,                0.58587,                0.98941,             0.00035469,             0.00035469,             0.00035469
                     60,                0.55176,                0.46929,                0.89452,                0.90706,                0.93796,                0.96785,                0.78974,                0.76417,                0.57429,                0.99753,             0.00034644,             0.00034644,             0.00034644
                     61,                0.56335,                0.46532,                0.89651,                0.90693,                 0.9495,                0.97305,                0.78879,                0.79359,                0.55429,                 1.0096,              0.0003382,              0.0003382,              0.0003382
                     62,                0.56177,                0.46175,                0.89374,                0.94485,                 0.9333,                0.97366,                0.78894,                0.79048,                 0.5807,                 1.0004,             0.00032995,             0.00032995,             0.00032995
                     63,                0.56321,                0.48052,                0.90334,                0.91406,                0.94396,                0.96769,                0.79614,                0.76731,                0.54917,                 1.0173,              0.0003217,              0.0003217,              0.0003217
                     64,                0.54957,                0.44599,                0.89131,                0.92094,                 0.9529,                0.97344,                0.80328,                 0.7587,                0.54205,                 1.0049,             0.00031346,             0.00031346,             0.00031346
                     65,                0.55287,                0.44824,                0.89437,                0.93419,                0.94555,                0.97742,                0.79732,                0.78048,                0.53615,                  1.012,             0.00030521,             0.00030521,             0.00030521
                     66,                0.55136,                0.45027,                0.89511,                0.93672,                0.92553,                0.97542,                  0.804,                0.75812,                0.53576,                 1.0185,             0.00029696,             0.00029696,             0.00029696
                     67,                0.54775,                0.44278,                0.88789,                0.91605,                0.93623,                0.97092,                0.79811,                0.77454,                0.55569,                 1.0281,             0.00028872,             0.00028872,             0.00028872
                     68,                0.52733,                0.43479,                0.87647,                0.91408,                0.92658,                0.97583,                0.80137,                0.75834,                0.56462,                 1.0096,             0.00028047,             0.00028047,             0.00028047
                     69,                0.55028,                0.44533,                 0.8962,                0.93727,                0.94264,                0.97489,                0.79826,                0.77821,                0.53793,                 1.0126,             0.00027222,             0.00027222,             0.00027222
                     70,                0.53882,                0.43967,                 0.8868,                0.90003,                0.93395,                 0.9632,                0.78021,                0.78154,                0.58038,                 1.0196,             0.00026398,             0.00026398,             0.00026398
                     71,                0.52751,                0.44653,                0.88374,                0.90923,                0.97108,                0.95897,                0.77146,                0.79118,                0.55555,                 1.0277,             0.00025573,             0.00025573,             0.00025573
                     72,                 0.5208,                0.42526,                0.87973,                0.90157,                0.94842,                0.96335,                0.77807,                 0.8029,                0.55517,                 1.0295,             0.00024748,             0.00024748,             0.00024748
                     73,                0.53023,                0.42216,                0.88493,                0.92738,                0.93659,                0.97039,                0.79796,                0.76073,                0.52067,                 1.0224,             0.00023924,             0.00023924,             0.00023924
                     74,                0.52788,                0.43294,                 0.8862,                0.92425,                0.94444,                0.97131,                0.79138,                0.78275,                 0.5288,                 1.0197,             0.00023099,             0.00023099,             0.00023099
                     75,                0.52428,                0.41051,                0.87846,                0.90314,                0.94536,                0.96955,                0.79563,                0.77483,                0.55061,                   1.03,             0.00022274,             0.00022274,             0.00022274
                     76,                0.51264,                0.41865,                0.88898,                0.91746,                0.94148,                0.97123,                 0.7984,                0.77003,                0.53037,                 1.0207,              0.0002145,              0.0002145,              0.0002145
                     77,                0.52839,                0.42073,                0.88739,                0.92726,                0.95255,                0.96672,                0.80525,                0.74483,                0.49712,                0.99709,             0.00020625,             0.00020625,             0.00020625
