                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1714,                 2.3407,                 1.2649,                      0,                      0,                      0,                      0,                 3.2384,             2.1862e+05,                 222.11,                 0.0739,                 0.0029,                 0.0029
                      2,                 1.2043,                 1.9458,                 1.2721,                      0,                      0,                      0,                      0,                 3.1987,             7.8391e+06,                  28428,               0.046861,              0.0058611,              0.0058611
                      3,                 1.1809,                 1.7661,                  1.237,                0.00019,                0.04211,                0.00013,                  3e-05,                 4.6345,             2.0248e+06,                 2278.2,               0.019783,              0.0087825,              0.0087825
                      4,                 1.2266,                 1.7227,                 1.2592,                0.12536,                0.12992,                0.00034,                0.00011,                 3.0432,                 7782.4,                 148.51,               0.009802,               0.009802,               0.009802
                      5,                 1.1072,                  1.709,                 1.2074,                0.12536,                0.12992,                0.00034,                0.00011,                 4.5652,                 1818.6,                 748.65,               0.009736,               0.009736,               0.009736
                      6,                 1.1137,                 1.5724,                 1.1914,                 0.0687,                0.10271,                0.06741,                0.02994,                 2.7267,                 9.2787,                 6.7266,                0.00967,                0.00967,                0.00967
                      7,                 1.1065,                 1.6366,                 1.1812,                0.77194,                0.13427,                0.06926,                0.03584,                 2.0761,                 6.2315,                 1.9847,               0.009604,               0.009604,               0.009604
                      8,                 1.0901,                 1.5267,                 1.1802,                0.32673,                0.45097,                0.25553,                 0.1527,                 1.4685,                  5.175,                 1.5056,               0.009538,               0.009538,               0.009538
                      9,                  1.027,                 1.4253,                 1.1534,                0.54488,                 0.4956,                0.37076,                0.25373,                 1.3745,                 31.029,                 1.6155,               0.009472,               0.009472,               0.009472
                     10,                0.99928,                 1.4162,                  1.139,                 0.3129,                0.68895,                0.54294,                 0.3797,                 1.0853,                 1.9927,                 1.2432,               0.009406,               0.009406,               0.009406
                     11,                0.99243,                 1.2853,                  1.118,                0.41894,                0.64702,                0.54487,                0.40097,                 1.0306,                 2.0573,                 1.2453,                0.00934,                0.00934,                0.00934
                     12,                0.99406,                 1.2579,                 1.1406,                0.33411,                 0.4674,                0.36458,                0.24758,                 1.3676,                  9.432,                 1.5423,               0.009274,               0.009274,               0.009274
                     13,                0.94791,                 1.1848,                 1.1066,                0.42219,                0.63126,                0.53446,                0.37344,                 1.1476,                  2.107,                 1.2999,               0.009208,               0.009208,               0.009208
                     14,                0.95444,                 1.1916,                 1.1007,                0.36857,                0.75636,                0.60187,                0.45634,                0.90406,                 1.6575,                 1.1303,               0.009142,               0.009142,               0.009142
                     15,                0.93175,                 1.1873,                 1.0991,                0.44334,                0.67216,                0.67877,                0.50614,                0.91612,                 1.6868,                 1.1306,               0.009076,               0.009076,               0.009076
                     16,                0.92144,                 1.1725,                 1.1044,                0.41516,                0.45143,                0.45798,                  0.341,                 1.0348,                 2.7283,                 1.2428,                0.00901,                0.00901,                0.00901
                     17,                0.90025,                 1.1705,                 1.0779,                0.38635,                0.69097,                0.55095,                0.42304,                0.93579,                 1.9399,                 1.1539,               0.008944,               0.008944,               0.008944
                     18,                0.92515,                 1.1618,                 1.0755,                0.52556,                0.60835,                0.63291,                0.45621,                0.99057,                 1.6403,                 1.1977,               0.008878,               0.008878,               0.008878
                     19,                0.93984,                 1.1192,                 1.0936,                0.52208,                0.81172,                0.72563,                0.53833,                0.92946,                 1.2474,                 1.1379,               0.008812,               0.008812,               0.008812
                     20,                0.92542,                 1.0811,                 1.0943,                0.59312,                0.69866,                0.68607,                0.49852,                 1.0748,                 1.3716,                  1.233,               0.008746,               0.008746,               0.008746
                     21,                0.93061,                  1.167,                 1.0979,                0.49868,                0.55251,                0.53004,                0.38543,                 1.0821,                 1.8279,                 1.2781,                0.00868,                0.00868,                0.00868
                     22,                  0.903,                 1.0792,                 1.0661,                0.41817,                0.79166,                0.59254,                0.45083,                0.96494,                 1.5529,                 1.1662,               0.008614,               0.008614,               0.008614
                     23,                0.88271,                 1.0663,                 1.0703,                0.56412,                0.79685,                0.79089,                0.57975,                0.95334,                 1.2973,                 1.1789,               0.008548,               0.008548,               0.008548
                     24,                0.87862,                  1.036,                 1.0638,                0.63715,                0.70698,                0.74473,                0.57306,                0.91401,                 1.0748,                 1.1313,               0.008482,               0.008482,               0.008482
                     25,                0.90685,                 1.0846,                 1.0757,                0.66075,                0.60355,                0.62741,                0.47462,                 0.9741,                 1.5833,                 1.1621,               0.008416,               0.008416,               0.008416
                     26,                0.87869,                 1.0585,                 1.0534,                0.53594,                0.74346,                0.70064,                0.53468,                0.91498,                 1.1746,                 1.1326,                0.00835,                0.00835,                0.00835
                     27,                  0.876,                  1.107,                 1.0884,                0.49036,                0.72722,                0.70262,                0.53272,                0.88136,                 1.2507,                 1.1186,               0.008284,               0.008284,               0.008284
                     28,                0.87194,                 0.9761,                 1.0472,                0.58215,                0.76634,                0.72702,                0.56266,                0.91633,                 1.2624,                 1.1344,               0.008218,               0.008218,               0.008218
                     29,                0.87933,                 0.9543,                 1.0652,                0.73774,                0.78601,                0.82245,                0.62472,                0.94124,                0.91465,                 1.1365,               0.008152,               0.008152,               0.008152
                     30,                0.88534,                0.96028,                 1.0876,                0.59279,                0.79532,                0.77261,                0.58995,                0.88382,                 1.3444,                 1.1199,               0.008086,               0.008086,               0.008086
                     31,                0.85369,                0.93781,                 1.0466,                 0.7721,                0.74175,                0.87229,                0.65241,                0.90576,                0.98773,                 1.1261,                0.00802,                0.00802,                0.00802
                     32,                 0.8573,                0.89775,                 1.0677,                0.64055,                0.74795,                0.80816,                0.61062,                0.88979,                 1.1737,                 1.1253,               0.007954,               0.007954,               0.007954
                     33,                0.86366,                0.94905,                 1.0549,                0.66541,                0.71847,                0.77497,                0.60136,                0.84704,                 1.1162,                 1.0952,               0.007888,               0.007888,               0.007888
                     34,                0.88068,                0.94693,                 1.0669,                0.50534,                0.66891,                0.65751,                0.49309,                0.87307,                 1.7721,                 1.1497,               0.007822,               0.007822,               0.007822
                     35,                0.85424,                 0.9735,                 1.0794,                0.51371,                0.73089,                0.70279,                0.52774,                 0.9156,                 1.1779,                 1.1306,               0.007756,               0.007756,               0.007756
                     36,                0.82656,                0.86963,                 1.0464,                0.45772,                 0.6437,                 0.6332,                0.47262,                0.93787,                 1.5528,                 1.1745,                0.00769,                0.00769,                0.00769
                     37,                0.82306,                0.88513,                 1.0345,                0.68569,                0.81768,                0.87785,                0.68714,                0.80335,                 1.0907,                 1.0651,               0.007624,               0.007624,               0.007624
                     38,                0.82667,                0.90982,                 1.0393,                0.59277,                0.62467,                0.71448,                0.53527,                0.88764,                 1.3802,                 1.1161,               0.007558,               0.007558,               0.007558
                     39,                0.82013,                0.87867,                 1.0357,                0.77536,                0.84934,                0.92746,                 0.7168,                0.84825,                0.80166,                   1.09,               0.007492,               0.007492,               0.007492
                     40,                0.80937,                0.84643,                 1.0232,                 0.6563,                0.80989,                0.81102,                0.62743,                0.88241,                 1.0114,                 1.1117,               0.007426,               0.007426,               0.007426
                     41,                0.81873,                0.80024,                 1.0326,                0.88752,                0.90011,                0.95513,                0.75472,                0.80372,                0.63448,                 1.0753,                0.00736,                0.00736,                0.00736
