                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.156,                 3.8379,                 1.2435,                      0,                      0,                      0,                      0,                0.89534,                   3.53,                0.97167,             0.00014994,             0.00014994,             0.00014994
                      1,                 1.0084,                 2.6498,                 1.0624,                 0.0625,                0.00658,                0.03289,                0.02632,                 0.9403,                 2.8686,                0.96151,             0.00030516,             0.00030516,             0.00030516
                      2,                0.96049,                 2.1484,                 1.0538,                0.14268,                0.30427,                 0.2354,                0.18431,                0.97914,                 3.0397,                0.98155,             0.00045724,             0.00045724,             0.00045724
                      3,                0.93288,                 1.7389,                 1.0259,                0.72222,                0.15411,                0.44077,                 0.3605,                 0.9664,                 2.2649,                0.99758,             0.00060619,             0.00060619,             0.00060619
                      4,                0.89386,                 1.5631,                 1.0059,                0.43627,                 0.3721,                0.44286,                0.35806,                 0.8951,                 1.7569,                0.96164,             0.00075201,             0.00075201,             0.00075201
                      5,                0.92899,                  1.442,                 1.0211,                0.66338,                0.37635,                0.52692,                0.43096,                0.90279,                 1.5325,                0.96948,             0.00079177,             0.00079177,             0.00079177
                      6,                0.87298,                 1.3391,                 1.0061,                0.43239,                0.44744,                0.47683,                0.39122,                0.84629,                 1.5681,                0.97275,             0.00079177,             0.00079177,             0.00079177
                      7,                0.83794,                 1.2064,                0.98085,                0.77118,                0.69066,                0.77465,                0.62554,                0.95984,                 1.5017,                0.99071,             0.00078352,             0.00078352,             0.00078352
                      8,                0.84896,                 1.1953,                 0.9819,                0.85555,                0.81547,                0.85926,                0.69789,                 0.8868,                 1.1226,                0.99372,             0.00077527,             0.00077527,             0.00077527
                      9,                0.80021,                 1.0619,                0.96876,                0.80879,                0.77198,                0.83318,                0.66876,                0.90117,                 1.2657,                 1.0253,             0.00076703,             0.00076703,             0.00076703
                     10,                0.80799,                 1.0928,                0.97055,                0.82765,                0.60026,                0.74352,                0.61408,                0.86759,                 1.2759,                 0.9759,             0.00075878,             0.00075878,             0.00075878
                     11,                0.79277,                 1.0977,                0.96929,                0.90074,                0.80924,                0.87937,                0.71042,                0.86662,                 1.0228,                0.97985,             0.00075053,             0.00075053,             0.00075053
