                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0663,                 3.5166,                 1.1839,                      0,                      0,                      0,                      0,                0.90238,                 2.9142,                0.93524,             0.00023324,             0.00023324,             0.00023324
                      1,                0.95454,                 2.2617,                 1.0746,                0.11161,                 0.0601,                 0.0857,                0.07345,                 0.7822,                 2.2713,                0.92664,             0.00047011,             0.00047011,             0.00047011
                      2,                0.87033,                 1.7446,                 1.0152,                0.31003,                0.33474,                  0.315,                0.25743,                0.87927,                 1.6788,                0.94023,              0.0007022,              0.0007022,              0.0007022
                      3,                0.85084,                 1.4956,                 1.0235,                0.44583,                0.40967,                0.44309,                0.33159,                 0.8698,                 1.5622,                0.92487,             0.00080826,             0.00080826,             0.00080826
                      4,                0.83963,                 1.3602,                 1.0281,                0.65648,                0.51306,                0.60073,                0.49331,                0.75893,                 1.1242,                0.92484,             0.00080826,             0.00080826,             0.00080826
                      5,                0.80758,                 1.2051,                 1.0042,                0.85196,                  0.626,                0.74239,                0.61217,                0.78407,                 1.2006,                 0.9362,             0.00080001,             0.00080001,             0.00080001
                      6,                0.80474,                  1.136,                0.99442,                0.92304,                0.48355,                0.70871,                0.57496,                0.78701,                  1.179,                0.93528,             0.00079177,             0.00079177,             0.00079177
                      7,                0.78843,                 1.0994,                0.98671,                0.82682,                0.65074,                0.75191,                0.61781,                0.74236,                  1.192,                0.89398,             0.00078352,             0.00078352,             0.00078352
                      8,                0.77225,                 1.0811,                0.98398,                0.91746,                0.80856,                0.87664,                0.71472,                0.75645,                0.85596,                0.96048,             0.00077527,             0.00077527,             0.00077527
                      9,                0.73983,                0.98303,                0.97408,                0.91538,                0.81573,                 0.8789,                0.73825,                 0.7094,                0.84178,                0.92253,             0.00076703,             0.00076703,             0.00076703
                     10,                0.75975,                0.97304,                0.98042,                0.90267,                0.76464,                0.85264,                0.72379,                0.68287,                0.89169,                0.92399,             0.00075878,             0.00075878,             0.00075878
                     11,                0.74059,                0.91091,                0.97693,                0.85458,                0.63633,                0.73161,                0.60301,                0.78231,                 1.0673,                0.94095,             0.00075053,             0.00075053,             0.00075053
                     12,                0.73575,                0.94675,                 0.9717,                 0.9189,                0.80177,                0.88174,                0.72166,                 0.7815,                0.80947,                0.97529,             0.00074229,             0.00074229,             0.00074229
                     13,                0.71673,                0.87776,                0.96594,                0.87656,                0.79706,                0.85478,                0.71028,                0.71332,                0.96998,                0.91583,             0.00073404,             0.00073404,             0.00073404
                     14,                0.71612,                0.86388,                0.95647,                0.88753,                0.83107,                0.87382,                0.73385,                0.66398,                0.79667,                0.91623,             0.00072579,             0.00072579,             0.00072579
                     15,                0.74181,                 0.8391,                0.96811,                0.86642,                0.77148,                0.84592,                0.69787,                0.69739,                0.92403,                 0.9135,             0.00071755,             0.00071755,             0.00071755
                     16,                0.71024,                0.82756,                0.95919,                0.87994,                0.80342,                0.86069,                0.72484,                 0.6944,                0.82169,                0.91947,              0.0007093,              0.0007093,              0.0007093
                     17,                0.70682,                0.82594,                0.95431,                 0.8521,                0.78981,                0.84791,                0.71553,                0.67303,                0.77125,                 0.9248,             0.00070105,             0.00070105,             0.00070105
                     18,                 0.6983,                0.77668,                0.95727,                0.89719,                0.88778,                0.91208,                0.76541,                0.67589,                0.69279,                0.92369,             0.00069281,             0.00069281,             0.00069281
                     19,                0.71826,                0.78621,                0.96708,                0.80663,                0.76707,                0.81563,                0.68149,                0.65297,                0.82244,                0.93462,             0.00068456,             0.00068456,             0.00068456
                     20,                0.70071,                 0.7616,                0.96612,                0.95808,                0.84105,                0.91216,                0.76537,                0.69032,                0.70612,                0.94978,             0.00067631,             0.00067631,             0.00067631
                     21,                0.69822,                0.73944,                0.96871,                0.92312,                0.84177,                0.90308,                0.76323,                0.65049,                0.66047,                0.91637,             0.00066807,             0.00066807,             0.00066807
                     22,                0.68611,                0.69702,                0.95457,                0.95263,                 0.9102,                 0.9439,                0.80153,                0.63471,                 0.5767,                0.91982,             0.00065982,             0.00065982,             0.00065982
                     23,                0.66901,                0.69591,                0.95477,                0.93422,                 0.8266,                0.88858,                0.73832,                0.69517,                0.69663,                0.95575,             0.00065157,             0.00065157,             0.00065157
                     24,                0.66361,                 0.7049,                0.95593,                0.86173,                0.84394,                0.89196,                0.75361,                0.65583,                0.72249,                0.93284,             0.00064333,             0.00064333,             0.00064333
                     25,                0.66006,                0.68938,                0.94929,                 0.8628,                0.75682,                0.82365,                0.68217,                0.67532,                0.91577,                0.95716,             0.00063508,             0.00063508,             0.00063508
                     26,                0.67209,                0.69394,                0.95743,                0.89363,                0.86199,                0.89743,                0.75692,                0.63558,                0.69495,                0.92055,             0.00062683,             0.00062683,             0.00062683
                     27,                0.64072,                0.65305,                0.93297,                0.90856,                0.86999,                0.90838,                0.76111,                0.68223,                0.62784,                0.94983,             0.00061859,             0.00061859,             0.00061859
                     28,                0.66438,                0.69565,                  0.956,                0.70982,                0.73341,                0.70008,                0.58185,                0.69743,                 1.1083,                0.97924,             0.00061034,             0.00061034,             0.00061034
                     29,                0.66814,                0.68477,                0.94381,                0.84548,                0.80352,                0.85268,                0.71403,                0.68031,                0.73403,                0.92087,             0.00060209,             0.00060209,             0.00060209
                     30,                0.65812,                0.66363,                0.94533,                 0.8632,                0.73704,                0.81467,                0.67925,                0.64118,                 1.0615,                0.94172,             0.00059385,             0.00059385,             0.00059385
                     31,                0.65871,                0.67017,                0.94411,                 0.9274,                0.86634,                0.90608,                0.77029,                0.65706,                0.61306,                0.93731,              0.0005856,              0.0005856,              0.0005856
                     32,                0.65146,                0.63085,                0.94643,                0.90137,                0.92804,                0.94877,                0.80012,                0.63301,                0.58478,                0.93337,             0.00057735,             0.00057735,             0.00057735
                     33,                0.62631,                0.59821,                0.93719,                0.93948,                0.92597,                0.94568,                0.79178,                0.66256,                0.55559,                0.95161,             0.00056911,             0.00056911,             0.00056911
                     34,                0.64423,                0.61831,                0.94102,                0.90517,                 0.8727,                0.91103,                 0.7713,                0.63919,                0.61025,                0.93898,             0.00056086,             0.00056086,             0.00056086
                     35,                0.63375,                0.59582,                0.93915,                0.93751,                0.88224,                0.91679,                0.77012,                0.68655,                0.59901,                0.97114,             0.00055261,             0.00055261,             0.00055261
                     36,                0.64129,                 0.6447,                0.93911,                0.94313,                0.94452,                0.95155,                0.79668,                0.65523,                0.51607,                0.96143,             0.00054437,             0.00054437,             0.00054437
                     37,                 0.6329,                0.58606,                0.94306,                0.90649,                0.88161,                0.92069,                 0.7664,                0.66074,                0.62248,                0.95743,             0.00053612,             0.00053612,             0.00053612
                     38,                 0.6254,                  0.572,                0.93188,                 0.8938,                0.83726,                0.88318,                0.72897,                0.66942,                0.57114,                0.96615,             0.00052787,             0.00052787,             0.00052787
                     39,                0.61269,                0.54469,                0.93852,                0.92709,                0.93846,                0.94921,                0.80141,                0.65597,                0.51991,                0.95697,             0.00051963,             0.00051963,             0.00051963
                     40,                0.62392,                0.54093,                0.93682,                0.91224,                0.87308,                0.91433,                0.77031,                0.62493,                0.56719,                0.94293,             0.00051138,             0.00051138,             0.00051138
                     41,                0.63537,                0.54127,                0.94571,                  0.881,                0.83809,                0.87083,                0.73722,                0.64454,                0.74201,                0.96211,             0.00050313,             0.00050313,             0.00050313
                     42,                0.61839,                0.52717,                0.93201,                0.92583,                0.90658,                0.94149,                 0.7917,                0.63234,                0.51271,                0.94698,             0.00049489,             0.00049489,             0.00049489
                     43,                0.60278,                0.51247,                0.92599,                0.88557,                 0.8656,                0.90494,                0.76244,                0.65242,                0.67597,                0.95657,             0.00048664,             0.00048664,             0.00048664
                     44,                0.61602,                0.50973,                0.93693,                0.94919,                0.90778,                0.93994,                0.80339,                 0.6155,                0.46781,                0.94429,             0.00047839,             0.00047839,             0.00047839
                     45,                 0.5881,                 0.4921,                 0.9212,                 0.9133,                 0.8718,                0.91064,                0.77196,                0.63832,                0.65222,                0.95248,             0.00047015,             0.00047015,             0.00047015
                     46,                0.60458,                0.49461,                0.92688,                0.95005,                0.89133,                0.94068,                0.79919,                0.63059,                0.48031,                0.96183,              0.0004619,              0.0004619,              0.0004619
                     47,                0.59098,                0.47942,                0.92511,                0.93963,                0.94407,                 0.9571,                0.80439,                 0.6417,                 0.4926,                0.95709,             0.00045365,             0.00045365,             0.00045365
                     48,                0.59573,                0.47719,                0.92473,                0.93542,                0.93136,                0.95402,                0.80437,                0.63547,                0.52379,                0.94435,             0.00044541,             0.00044541,             0.00044541
                     49,                0.58901,                0.47084,                0.92403,                0.93241,                0.92904,                0.95156,                0.80471,                  0.617,                0.47683,                0.94238,             0.00043716,             0.00043716,             0.00043716
                     50,                0.58657,                0.46782,                0.91905,                0.90833,                0.88447,                0.91435,                0.77371,                0.64251,                0.68135,                0.95258,             0.00042891,             0.00042891,             0.00042891
                     51,                0.59175,                0.47635,                0.92189,                0.93399,                0.89416,                0.93068,                0.78952,                0.64434,                 0.5463,                0.95491,             0.00042066,             0.00042066,             0.00042066
