                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.7754,                0.56351,                 1.0276,                0.91668,                0.86968,                  0.958,                0.77137,                0.76852,                0.54432,                 1.0932,                0.00769,                0.00769,                0.00769
                     37,                0.77309,                0.56321,                 1.0287,                0.88159,                0.91822,                0.94212,                0.75944,                0.79082,                0.57761,                 1.0869,               0.007624,               0.007624,               0.007624
                     38,                0.79328,                0.56994,                 1.0327,                0.83345,                0.89436,                0.88765,                 0.7018,                0.80764,                0.76412,                 1.0942,               0.007558,               0.007558,               0.007558
                     39,                0.77115,                0.53849,                 1.0219,                0.91277,                0.93731,                0.97809,                0.78456,                0.79089,                0.51225,                 1.0956,               0.007492,               0.007492,               0.007492
                     40,                 0.7589,                0.56039,                 1.0225,                0.90147,                 0.9229,                0.97289,                0.78971,                0.75866,                0.49791,                 1.0718,               0.007426,               0.007426,               0.007426
                     41,                0.75566,                0.53159,                 1.0216,                0.85051,                 0.9112,                0.94778,                0.77266,                0.75969,                0.60005,                 1.0733,                0.00736,                0.00736,                0.00736
                     42,                0.74598,                0.50949,                 1.0164,                0.90673,                0.92608,                0.95744,                0.78963,                0.71571,                0.51412,                 1.0499,               0.007294,               0.007294,               0.007294
                     43,                0.76349,                0.52095,                 1.0248,                0.78396,                0.85324,                 0.8914,                0.72029,                0.78919,                0.75944,                 1.0944,               0.007228,               0.007228,               0.007228
                     44,                 0.7474,                0.52831,                 1.0173,                0.89951,                0.91737,                0.97053,                0.79477,                0.75785,                0.50839,                 1.0658,               0.007162,               0.007162,               0.007162
                     45,                 0.7396,                0.50866,                 1.0176,                0.81567,                0.85483,                0.92689,                 0.7426,                0.77182,                0.70769,                 1.0816,               0.007096,               0.007096,               0.007096
                     46,                0.73289,                0.50182,                 1.0121,                0.95242,                0.94726,                0.97965,                 0.8001,                0.73913,                0.42213,                 1.0667,                0.00703,                0.00703,                0.00703
                     47,                0.73785,                0.49907,                  1.008,                0.71454,                  0.816,                0.89786,                0.70051,                0.84491,                 1.0485,                 1.1361,               0.006964,               0.006964,               0.006964
                     48,                0.72959,                0.51304,                  1.009,                0.93388,                0.92958,                0.97209,                0.79634,                0.74658,                0.44865,                 1.0663,               0.006898,               0.006898,               0.006898
                     49,                0.73368,                0.49283,                 1.0091,                 0.8043,                0.88544,                0.93109,                0.76735,                0.73786,                0.70577,                 1.0635,               0.006832,               0.006832,               0.006832
                     50,                0.73901,                0.49711,                 1.0056,                 0.9369,                0.94153,                0.97638,                 0.7915,                0.78669,                0.45378,                 1.0952,               0.006766,               0.006766,               0.006766
                     51,                0.73572,                0.49559,                 1.0085,                0.91823,                0.92909,                0.97623,                0.79975,                0.73452,                0.46663,                 1.0612,                 0.0067,                 0.0067,                 0.0067
                     52,                0.73129,                0.48245,                  1.011,                0.90815,                0.91192,                0.97404,                0.78686,                0.77131,                0.47685,                 1.0904,               0.006634,               0.006634,               0.006634
                     53,                0.72257,                0.50535,                 1.0073,                0.80842,                0.87901,                0.90307,                0.72261,                0.80868,                 0.7555,                 1.0938,               0.006568,               0.006568,               0.006568
                     54,                0.71917,                0.48609,                 1.0014,                0.95049,                0.95814,                0.98508,                 0.8147,                0.72333,                0.39179,                 1.0554,               0.006502,               0.006502,               0.006502
                     55,                0.71744,                0.47806,                 1.0043,                0.87053,                0.93117,                0.96417,                0.79725,                0.72043,                0.51155,                  1.056,               0.006436,               0.006436,               0.006436
                     56,                0.72323,                0.46354,                 1.0048,                0.87894,                 0.8754,                0.95308,                0.78395,                0.75053,                0.59434,                 1.0625,                0.00637,                0.00637,                0.00637
                     57,                0.71555,                0.47897,                 1.0037,                0.88686,                0.91123,                0.94447,                0.77748,                0.72206,                0.56161,                 1.0537,               0.006304,               0.006304,               0.006304
                     58,                0.70301,                0.45062,                0.99077,                0.92815,                0.92486,                0.96945,                0.79818,                0.73812,                0.48807,                 1.0648,               0.006238,               0.006238,               0.006238
                     59,                0.70665,                0.43987,                0.99403,                0.93593,                0.96436,                0.97819,                0.81109,                0.73382,                0.40036,                 1.0594,               0.006172,               0.006172,               0.006172
                     60,                 0.7038,                0.44309,                0.99345,                0.95233,                0.94932,                0.98084,                0.80875,                0.74101,                0.40313,                 1.0652,               0.006106,               0.006106,               0.006106
                     61,                0.71759,                0.46666,                0.99553,                0.94598,                0.94803,                0.98135,                0.81399,                0.73568,                0.40189,                 1.0608,                0.00604,                0.00604,                0.00604
                     62,                0.70915,                0.44719,                0.99754,                0.94056,                0.93926,                 0.9779,                0.79757,                0.75581,                0.43464,                 1.0804,               0.005974,               0.005974,               0.005974
                     63,                0.69277,                0.42601,                0.98668,                0.94474,                0.95071,                0.97838,                0.80475,                0.74636,                0.41891,                 1.0719,               0.005908,               0.005908,               0.005908
                     64,                0.71946,                0.44253,                0.99813,                0.92654,                0.95934,                0.97474,                0.80048,                0.74041,                0.42514,                 1.0645,               0.005842,               0.005842,               0.005842
                     65,                0.71459,                0.43969,                0.99977,                0.92308,                0.92844,                0.97237,                0.79008,                 0.7731,                0.45405,                 1.0789,               0.005776,               0.005776,               0.005776
                     66,                0.68844,                0.41818,                0.98538,                 0.9503,                0.95421,                0.98027,                0.81025,                0.72635,                0.40994,                 1.0578,                0.00571,                0.00571,                0.00571
                     67,                0.69045,                0.42319,                0.98371,                0.97245,                0.96994,                0.98792,                 0.8176,                 0.7274,                0.35433,                 1.0554,               0.005644,               0.005644,               0.005644
                     68,                0.69238,                0.41504,                0.98309,                 0.9358,                0.95057,                0.98447,                 0.8141,                0.72628,                 0.3933,                 1.0611,               0.005578,               0.005578,               0.005578
                     69,                0.70038,                0.42708,                0.98975,                0.94021,                0.94659,                0.97542,                0.79662,                0.77335,                0.42195,                 1.0957,               0.005512,               0.005512,               0.005512
                     70,                0.70087,                0.44774,                0.98991,                0.93087,                 0.9704,                0.97968,                0.81083,                0.73143,                0.38705,                 1.0612,               0.005446,               0.005446,               0.005446
                     71,                0.70111,                 0.4337,                0.98998,                0.93979,                0.94469,                0.96991,                0.79996,                0.73327,                0.42385,                 1.0603,                0.00538,                0.00538,                0.00538
                     72,                0.68767,                0.41494,                0.98742,                0.93085,                0.92901,                0.96828,                0.80126,                0.73603,                0.49587,                 1.0558,               0.005314,               0.005314,               0.005314
                     73,                0.67836,                0.40257,                0.98151,                0.95325,                0.95485,                0.98198,                0.81547,                  0.723,                0.37392,                 1.0574,               0.005248,               0.005248,               0.005248
                     74,                0.67871,                0.40109,                0.97963,                0.96061,                0.94698,                0.98295,                0.81731,                0.72654,                0.38305,                 1.0603,               0.005182,               0.005182,               0.005182
                     75,                0.67185,                0.40328,                0.98206,                0.95244,                0.96554,                0.98566,                 0.8186,                0.72639,                0.36411,                 1.0659,               0.005116,               0.005116,               0.005116
                     76,                0.67274,                0.39531,                0.97342,                0.94011,                0.94857,                0.97008,                0.80625,                0.71456,                0.41865,                 1.0512,                0.00505,                0.00505,                0.00505
                     77,                0.66689,                0.40265,                0.97845,                0.91864,                0.94377,                 0.9651,                0.80164,                0.72747,                0.44657,                 1.0613,               0.004984,               0.004984,               0.004984
                     78,                0.66726,                0.40085,                0.97856,                0.94193,                0.94237,                0.97396,                0.81257,                0.72193,                0.43197,                 1.0575,               0.004918,               0.004918,               0.004918
                     79,                0.66713,                0.39401,                0.98204,                0.95753,                0.95722,                0.98011,                 0.8174,                0.71217,                0.37934,                  1.053,               0.004852,               0.004852,               0.004852
                     80,                0.66556,                0.39237,                 0.9743,                0.94927,                0.95177,                0.97879,                0.82012,                 0.7006,                0.38867,                 1.0404,               0.004786,               0.004786,               0.004786
                     81,                0.66743,                0.38465,                0.97716,                0.95661,                0.95817,                0.98372,                 0.8204,                 0.7305,                0.36205,                 1.0627,                0.00472,                0.00472,                0.00472
                     82,                0.66078,                0.38881,                0.97509,                0.95687,                0.95832,                0.98263,                0.82215,                0.71287,                0.36389,                 1.0533,               0.004654,               0.004654,               0.004654
                     83,                0.65796,                0.38409,                0.97277,                0.94871,                0.95388,                0.97987,                0.81147,                0.73325,                0.41019,                 1.0611,               0.004588,               0.004588,               0.004588
                     84,                0.66478,                0.37973,                0.97487,                0.93639,                0.93993,                0.97301,                0.80827,                0.73898,                 0.4335,                  1.061,               0.004522,               0.004522,               0.004522
                     85,                0.65454,                0.38664,                0.97216,                0.94283,                0.96421,                0.98549,                0.82164,                0.71993,                0.36977,                 1.0507,               0.004456,               0.004456,               0.004456
                     86,                  0.652,                0.38035,                0.96553,                 0.9125,                0.93219,                0.96844,                0.80778,                0.70088,                0.45008,                 1.0431,                0.00439,                0.00439,                0.00439
                     87,                0.64713,                 0.3806,                0.96934,                0.96205,                0.96204,                0.98457,                0.82429,                0.71638,                0.35623,                 1.0517,               0.004324,               0.004324,               0.004324
                     88,                0.64978,                0.37552,                0.97141,                0.94156,                0.95109,                0.98067,                0.81643,                0.72926,                0.38424,                 1.0634,               0.004258,               0.004258,               0.004258
                     89,                 0.6544,                0.37489,                0.97411,                0.95213,                0.95874,                0.98351,                 0.8257,                0.69791,                0.36937,                 1.0426,               0.004192,               0.004192,               0.004192
                     90,                0.65353,                0.36837,                0.97053,                 0.9366,                0.96586,                0.97366,                0.81595,                0.71863,                0.41397,                 1.0518,               0.004126,               0.004126,               0.004126
                     91,                 0.6441,                0.36436,                0.96403,                0.92935,                 0.9469,                0.98278,                0.81615,                0.71524,                 0.4032,                 1.0545,                0.00406,                0.00406,                0.00406
                     92,                0.64788,                0.37071,                0.96718,                0.95093,                0.96892,                0.98465,                0.82084,                0.71237,                0.36327,                 1.0463,               0.003994,               0.003994,               0.003994
                     93,                0.64853,                0.36603,                0.96694,                0.93189,                0.94422,                0.97018,                0.81954,                0.69838,                0.44775,                 1.0428,               0.003928,               0.003928,               0.003928
                     94,                 0.6452,                0.35724,                0.96981,                0.95252,                0.94264,                0.97009,                0.81243,                0.71611,                0.41288,                 1.0478,               0.003862,               0.003862,               0.003862
                     95,                0.64337,                0.36233,                0.96664,                0.95103,                0.95339,                0.97713,                0.81652,                0.70842,                0.38974,                 1.0445,               0.003796,               0.003796,               0.003796
                     96,                0.64238,                0.36621,                 0.9719,                0.95595,                0.94625,                0.98265,                0.82331,                0.70462,                 0.3708,                 1.0469,                0.00373,                0.00373,                0.00373
                     97,                0.63931,                0.36328,                0.96526,                0.96365,                0.95188,                0.98307,                0.82417,                0.70342,                0.37286,                 1.0464,               0.003664,               0.003664,               0.003664
                     98,                0.63576,                0.36557,                0.96368,                0.95654,                0.94895,                0.98095,                0.82491,                0.69807,                0.36536,                 1.0432,               0.003598,               0.003598,               0.003598
                     99,                0.62677,                0.35012,                0.96167,                0.94974,                 0.9536,                0.98418,                0.83053,                0.70478,                 0.3585,                 1.0442,               0.003532,               0.003532,               0.003532
                    100,                0.63911,                0.36177,                0.96022,                0.93694,                 0.9576,                0.97898,                0.82177,                0.71616,                0.39722,                 1.0502,               0.003466,               0.003466,               0.003466
                    101,                0.62909,                0.35506,                 0.9617,                0.94374,                 0.9573,                 0.9794,                 0.8207,                0.72752,                0.40368,                 1.0633,                 0.0034,                 0.0034,                 0.0034
                    102,                 0.6141,                0.34163,                0.95086,                0.93662,                0.93661,                0.97227,                0.82306,                 0.6998,                0.45185,                 1.0452,               0.003334,               0.003334,               0.003334
                    103,                0.62281,                0.34668,                0.95595,                0.94911,                0.96606,                0.97836,                0.82734,                0.70312,                0.37657,                  1.043,               0.003268,               0.003268,               0.003268
                    104,                0.61653,                0.34811,                 0.9545,                0.94057,                0.95287,                0.97806,                0.81872,                0.72179,                 0.4124,                 1.0612,               0.003202,               0.003202,               0.003202
                    105,                0.62096,                0.34524,                0.95868,                0.95099,                0.95889,                0.98461,                0.82567,                0.71976,                  0.365,                 1.0581,               0.003136,               0.003136,               0.003136
                    106,                0.61093,                 0.3419,                0.94996,                0.95601,                0.96431,                0.98276,                0.82738,                0.71184,                 0.3654,                 1.0548,                0.00307,                0.00307,                0.00307
                    107,                0.60937,                0.33835,                0.94746,                0.95717,                0.94575,                  0.978,                 0.8209,                0.71402,                0.39027,                 1.0532,               0.003004,               0.003004,               0.003004
                    108,                0.61021,                0.33943,                0.94967,                 0.9441,                0.95036,                0.97421,                0.82114,                0.71714,                0.40512,                 1.0514,               0.002938,               0.002938,               0.002938
                    109,                0.62226,                0.33702,                0.95389,                0.92851,                0.95732,                 0.9716,                0.82156,                0.69954,                0.39598,                  1.042,               0.002872,               0.002872,               0.002872
                    110,                0.60312,                 0.3276,                0.95137,                0.92963,                  0.952,                0.97897,                0.82762,                0.70278,                0.38981,                 1.0492,               0.002806,               0.002806,               0.002806
                    111,                0.61208,                 0.3379,                0.95442,                0.94339,                0.96185,                0.98165,                0.82076,                0.71817,                0.37789,                 1.0586,                0.00274,                0.00274,                0.00274
                    112,                0.60988,                0.33298,                0.95162,                0.96593,                0.96502,                0.98653,                0.83339,                0.69965,                0.34111,                 1.0422,               0.002674,               0.002674,               0.002674
                    113,                0.60048,                  0.333,                0.94177,                0.94906,                0.96102,                0.98399,                0.82842,                0.70924,                0.35562,                 1.0562,               0.002608,               0.002608,               0.002608
                    114,                0.60751,                0.32966,                0.95206,                0.95082,                0.94344,                0.97991,                0.82714,                0.70614,                0.37287,                 1.0514,               0.002542,               0.002542,               0.002542
                    115,                0.61836,                0.32803,                0.94815,                0.96268,                0.96996,                0.98977,                0.83751,                0.69696,                0.31977,                 1.0433,               0.002476,               0.002476,               0.002476
                    116,                0.60618,                0.33062,                 0.9514,                0.93628,                0.94601,                0.97507,                0.82096,                0.69532,                0.40837,                 1.0439,                0.00241,                0.00241,                0.00241
                    117,                0.59673,                 0.3264,                0.94205,                0.95053,                0.95154,                0.98186,                0.82378,                0.71609,                0.36271,                 1.0509,               0.002344,               0.002344,               0.002344
                    118,                0.60127,                0.32811,                0.94969,                0.93758,                0.96575,                0.98379,                0.83202,                0.69315,                0.35584,                 1.0418,               0.002278,               0.002278,               0.002278
                    119,                0.59234,                0.32374,                0.93932,                0.96163,                0.95179,                0.98424,                0.82793,                0.70353,                0.34859,                 1.0528,               0.002212,               0.002212,               0.002212
                    120,                0.58349,                0.31629,                0.93871,                 0.9507,                0.95007,                0.98374,                0.82726,                0.71337,                0.36294,                  1.062,               0.002146,               0.002146,               0.002146
                    121,                0.58022,                0.31652,                0.93591,                0.95377,                0.94455,                0.98314,                0.82349,                0.73025,                0.37393,                   1.07,                0.00208,                0.00208,                0.00208
                    122,                0.59079,                0.31981,                0.94682,                0.95802,                0.97385,                0.98834,                0.83121,                0.70768,                0.32337,                 1.0535,               0.002014,               0.002014,               0.002014
                    123,                0.59305,                0.31943,                0.94332,                0.95133,                0.95303,                0.98261,                0.82807,                0.71335,                0.37864,                 1.0605,               0.001948,               0.001948,               0.001948
                    124,                0.58196,                 0.3105,                0.93557,                0.95357,                0.93889,                0.97904,                0.82121,                0.71521,                0.40279,                 1.0637,               0.001882,               0.001882,               0.001882
                    125,                 0.5885,                0.31934,                0.94009,                0.95163,                0.94982,                 0.9799,                0.82662,                0.71508,                0.38922,                 1.0581,               0.001816,               0.001816,               0.001816
                    126,                0.57966,                0.31162,                0.93642,                0.96245,                0.95687,                0.98482,                 0.8311,                0.70869,                0.35182,                 1.0554,                0.00175,                0.00175,                0.00175
                    127,                0.57879,                0.31171,                0.93654,                0.94643,                 0.9338,                0.97967,                0.82511,                0.71806,                0.41577,                 1.0621,               0.001684,               0.001684,               0.001684
                    128,                0.56835,                0.30478,                0.93364,                0.94583,                0.96026,                0.98102,                0.82216,                0.71775,                0.37178,                 1.0623,               0.001618,               0.001618,               0.001618
                    129,                  0.571,                0.30152,                 0.9307,                0.95137,                0.96145,                0.98118,                0.81869,                 0.7253,                 0.3673,                 1.0701,               0.001552,               0.001552,               0.001552
                    130,                 0.5707,                0.30421,                  0.935,                0.95239,                0.95343,                0.98275,                0.82881,                0.70657,                 0.3601,                 1.0583,               0.001486,               0.001486,               0.001486
                    131,                0.56858,                0.30739,                0.93158,                0.95575,                0.94887,                0.98174,                0.82579,                 0.7145,                0.36898,                 1.0654,                0.00142,                0.00142,                0.00142
                    132,                 0.5626,                0.29937,                0.93011,                0.96158,                0.96844,                0.98505,                0.82539,                0.71802,                0.33594,                 1.0655,               0.001354,               0.001354,               0.001354
                    133,                0.56195,                0.29704,                0.92735,                0.95545,                 0.9462,                 0.9817,                0.82259,                 0.7207,                0.36681,                 1.0741,               0.001288,               0.001288,               0.001288
