                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0431,                 1.6347,                 1.1634,                 0.3714,                0.28614,                0.12116,                0.08095,                 1.5534,                 32.028,                 1.9382,               0.070256,              0.0033048,              0.0033048
                      2,                 1.0969,                  1.421,                 1.1833,                0.45917,                0.18593,                0.14968,                0.07086,                 1.8482,                 11.036,                 1.8719,               0.040213,              0.0065944,              0.0065944
                      3,                 1.0687,                 1.3332,                 1.1685,                0.41599,                0.42287,                0.32366,                0.17646,                 1.7551,                 3.5358,                 1.7841,               0.010125,              0.0098399,              0.0098399
                      4,                 1.0451,                 1.2268,                 1.1546,                0.53594,                0.44196,                0.47207,                0.31809,                 1.1552,                 4.8418,                 1.3316,               0.009802,               0.009802,               0.009802
                      5,                0.98159,                 1.1002,                 1.1194,                0.43184,                0.48787,                0.42802,                 0.3038,                 1.1205,                 2.8579,                 1.2858,               0.009736,               0.009736,               0.009736
                      6,                0.95865,                 1.0694,                 1.1088,                0.56786,                0.71779,                0.73355,                0.54106,                0.92737,                 1.2984,                 1.1464,                0.00967,                0.00967,                0.00967
                      7,                0.94973,                 0.9725,                 1.0961,                0.37972,                0.48494,                0.48667,                0.35768,                 1.0079,                 2.6376,                 1.2169,               0.009604,               0.009604,               0.009604
                      8,                0.93143,                0.98333,                 1.0893,                0.37337,                0.66517,                0.66061,                0.48102,                0.94417,                 2.4049,                 1.1657,               0.009538,               0.009538,               0.009538
                      9,                0.93042,                0.90358,                 1.0894,                0.76629,                0.81789,                0.86662,                 0.6586,                0.86417,                0.86714,                 1.1031,               0.009472,               0.009472,               0.009472
                     10,                0.90936,                0.86362,                 1.0811,                0.78469,                 0.7904,                0.89156,                0.67409,                0.88941,                 0.9142,                 1.1314,               0.009406,               0.009406,               0.009406
                     11,                0.89533,                0.84584,                 1.0794,                0.51267,                0.56672,                0.58685,                0.41907,                 1.0659,                 1.8349,                 1.2603,                0.00934,                0.00934,                0.00934
                     12,                 0.8946,                0.82078,                 1.0719,                0.81116,                0.83119,                0.91846,                 0.6851,                0.90906,                0.82099,                 1.1299,               0.009274,               0.009274,               0.009274
                     13,                0.86443,                0.78422,                 1.0566,                0.52484,                0.70748,                0.77134,                0.57836,                0.90074,                 1.4225,                  1.139,               0.009208,               0.009208,               0.009208
                     14,                0.85141,                0.75545,                  1.051,                0.69828,                0.74745,                0.81771,                0.62685,                0.84412,                 1.1725,                 1.1035,               0.009142,               0.009142,               0.009142
                     15,                0.84248,                0.72377,                   1.04,                0.83546,                0.86164,                 0.9378,                0.70704,                0.92419,                0.68975,                 1.1443,               0.009076,               0.009076,               0.009076
                     16,                0.85141,                0.72644,                 1.0433,                0.81719,                0.90085,                0.93162,                0.73191,                0.80015,                0.68889,                 1.0708,                0.00901,                0.00901,                0.00901
                     17,                0.86238,                 0.7104,                 1.0519,                0.79643,                0.84759,                0.89468,                0.68935,                0.83841,                 1.0164,                 1.0949,               0.008944,               0.008944,               0.008944
                     18,                0.81604,                0.68438,                 1.0332,                0.85436,                0.89076,                 0.9372,                0.73497,                0.80293,                0.62202,                 1.0772,               0.008878,               0.008878,               0.008878
                     19,                0.84217,                0.71828,                 1.0447,                 0.4028,                0.61216,                0.64907,                0.49265,                 0.8894,                 3.3602,                 1.1377,               0.008812,               0.008812,               0.008812
                     20,                0.87841,                0.74463,                 1.0518,                0.49624,                0.60985,                0.64525,                0.48455,                0.94419,                  2.066,                 1.1672,               0.008746,               0.008746,               0.008746
                     21,                0.81746,                0.68293,                 1.0298,                0.78113,                0.76538,                0.85071,                 0.6755,                0.82045,                 0.9783,                 1.0831,                0.00868,                0.00868,                0.00868
                     22,                0.81022,                0.62432,                 1.0307,                0.77163,                0.78168,                0.84639,                0.65779,                0.83885,                0.89578,                 1.0971,               0.008614,               0.008614,               0.008614
                     23,                0.78577,                0.62151,                 1.0192,                0.83443,                0.88562,                0.93694,                0.74619,                0.78371,                0.62967,                 1.0526,               0.008548,               0.008548,               0.008548
                     24,                 0.7878,                0.64103,                 1.0142,                0.88152,                0.91069,                0.96696,                0.77745,                0.79158,                0.56302,                 1.0669,               0.008482,               0.008482,               0.008482
                     25,                0.80416,                0.63475,                 1.0289,                0.80128,                0.87149,                0.93211,                0.71892,                0.83754,                0.78201,                 1.0907,               0.008416,               0.008416,               0.008416
                     26,                0.81318,                 0.6282,                 1.0232,                0.82293,                0.84753,                0.89451,                0.70041,                0.83107,                0.78271,                 1.0869,                0.00835,                0.00835,                0.00835
                     27,                0.79223,                0.61416,                 1.0188,                0.84387,                0.84489,                 0.9234,                0.70803,                 0.8629,                0.68967,                 1.1098,               0.008284,               0.008284,               0.008284
                     28,                0.77639,                0.60273,                 1.0087,                0.81039,                0.79559,                0.90287,                0.72368,                0.76904,                0.84447,                 1.0483,               0.008218,               0.008218,               0.008218
                     29,                0.77829,                 0.6113,                 1.0061,                0.91257,                0.92867,                0.96279,                0.77532,                0.77441,                0.50955,                 1.0508,               0.008152,               0.008152,               0.008152
                     30,                0.77673,                0.59666,                  1.009,                0.86376,                0.87786,                0.93203,                0.74181,                0.81517,                  0.654,                 1.0788,               0.008086,               0.008086,               0.008086
                     31,                0.77529,                0.57973,                 1.0117,                 0.8279,                0.83851,                0.92598,                0.74607,                0.76658,                0.69567,                 1.0522,                0.00802,                0.00802,                0.00802
                     32,                0.77812,                 0.5736,                 1.0094,                0.87751,                0.91799,                0.95706,                0.77517,                0.77386,                0.53737,                 1.0526,               0.007954,               0.007954,               0.007954
                     33,                0.77857,                0.54539,                 1.0116,                 0.9204,                0.93228,                0.95576,                0.75608,                0.80325,                0.50452,                 1.0779,               0.007888,               0.007888,               0.007888
                     34,                0.75951,                0.55713,                 1.0085,                0.93021,                0.93053,                0.96503,                0.78055,                0.76808,                0.46704,                 1.0561,               0.007822,               0.007822,               0.007822
                     35,                0.76645,                0.51707,                 1.0027,                0.87282,                0.86673,                0.93129,                0.74591,                0.79507,                0.76511,                 1.0522,               0.007756,               0.007756,               0.007756
                     36,                0.75856,                0.53129,                  1.003,                  0.863,                0.83237,                0.93517,                0.75381,                0.78029,                0.69401,                 1.0527,                0.00769,                0.00769,                0.00769
                     37,                0.77852,                0.55492,                 1.0103,                0.93014,                0.92134,                0.96839,                0.78744,                0.76854,                0.46924,                  1.048,               0.007624,               0.007624,               0.007624
                     38,                0.75641,                0.50813,                0.99649,                0.88936,                0.89146,                0.93784,                0.75883,                0.75859,                0.54783,                 1.0448,               0.007558,               0.007558,               0.007558
                     39,                0.74154,                 0.5001,                0.99147,                0.92107,                0.92237,                0.97104,                0.76802,                0.79452,                0.50077,                 1.0715,               0.007492,               0.007492,               0.007492
                     40,                 0.7528,                0.52455,                0.99808,                0.88872,                0.92243,                0.96135,                0.77621,                0.77308,                0.48474,                  1.064,               0.007426,               0.007426,               0.007426
                     41,                0.74602,                0.50827,                0.99646,                0.86349,                0.90652,                0.94104,                0.76936,                0.74727,                0.62156,                 1.0341,                0.00736,                0.00736,                0.00736
                     42,                0.73902,                  0.488,                0.99411,                0.89903,                0.91861,                  0.966,                 0.7899,                0.74895,                0.47244,                 1.0342,               0.007294,               0.007294,               0.007294
                     43,                0.74035,                0.48649,                0.99255,                0.88625,                  0.886,                0.94366,                0.76212,                0.77816,                0.55306,                 1.0636,               0.007228,               0.007228,               0.007228
                     44,                0.72593,                0.48546,                0.98561,                0.81386,                0.91822,                0.96183,                0.77374,                0.77416,                0.62092,                 1.0466,               0.007162,               0.007162,               0.007162
                     45,                0.73548,                0.48616,                0.99358,                0.84632,                0.84538,                0.91421,                0.74655,                0.75728,                0.69526,                 1.0404,               0.007096,               0.007096,               0.007096
                     46,                0.72388,                0.49072,                0.99049,                0.85734,                0.86605,                 0.9334,                0.75987,                0.74967,                 0.7085,                 1.0365,                0.00703,                0.00703,                0.00703
                     47,                0.71823,                0.46935,                0.98336,                0.93452,                0.93376,                0.97768,                0.79242,                0.76303,                0.41653,                 1.0459,               0.006964,               0.006964,               0.006964
                     48,                0.71536,                  0.458,                0.98449,                0.94228,                0.93623,                0.97528,                0.79834,                0.74721,                0.41665,                 1.0427,               0.006898,               0.006898,               0.006898
                     49,                0.72154,                0.45455,                0.98455,                0.93389,                 0.9421,                0.97441,                0.80524,                 0.7242,                0.40471,                 1.0247,               0.006832,               0.006832,               0.006832
                     50,                0.70757,                0.44759,                0.97757,                0.86985,                0.90976,                 0.9466,                0.76229,                0.77367,                0.62957,                  1.054,               0.006766,               0.006766,               0.006766
                     51,                0.71193,                0.45595,                0.98055,                0.87946,                0.89495,                0.96467,                0.79078,                0.73141,                0.52973,                 1.0264,                 0.0067,                 0.0067,                 0.0067
                     52,                0.71327,                0.44807,                0.98038,                 0.8791,                0.92166,                0.96402,                0.79084,                0.74134,                0.50186,                  1.036,               0.006634,               0.006634,               0.006634
                     53,                0.70888,                0.44714,                0.98204,                 0.9226,                0.93248,                0.94555,                 0.7619,                0.76188,                0.51426,                 1.0435,               0.006568,               0.006568,               0.006568
                     54,                0.69853,                0.43953,                0.97352,                 0.9338,                0.90693,                0.97799,                 0.8015,                0.75624,                0.45018,                 1.0381,               0.006502,               0.006502,               0.006502
                     55,                0.70536,                0.45943,                0.98093,                0.90083,                0.95458,                0.97795,                0.80172,                0.73367,                0.44564,                 1.0274,               0.006436,               0.006436,               0.006436
                     56,                0.70194,                0.42932,                 0.9764,                0.94265,                 0.9476,                0.98431,                0.80677,                0.74449,                0.39512,                  1.042,                0.00637,                0.00637,                0.00637
                     57,                0.70285,                0.43785,                0.97784,                 0.8744,                 0.9445,                0.96374,                0.78061,                0.74912,                0.50049,                 1.0375,               0.006304,               0.006304,               0.006304
                     58,                0.69509,                0.43212,                0.96898,                0.89349,                0.85341,                0.93574,                  0.767,                0.74692,                0.61152,                   1.04,               0.006238,               0.006238,               0.006238
                     59,                0.69512,                0.41409,                0.97209,                  0.931,                0.94361,                0.96206,                0.80422,                0.71256,                0.44664,                 1.0142,               0.006172,               0.006172,               0.006172
                     60,                0.68588,                0.42661,                0.96858,                0.96706,                0.95049,                0.98622,                0.80736,                0.75653,                0.37136,                 1.0417,               0.006106,               0.006106,               0.006106
                     61,                 0.6838,                0.41779,                 0.9616,                0.93251,                0.94907,                0.97888,                0.81544,                0.71888,                0.38409,                 1.0217,                0.00604,                0.00604,                0.00604
                     62,                0.68077,                0.40613,                0.96761,                0.95109,                0.96407,                0.98421,                0.81496,                0.71391,                0.37613,                 1.0156,               0.005974,               0.005974,               0.005974
                     63,                0.69004,                0.42175,                0.96993,                0.90668,                0.94515,                0.97099,                0.79405,                0.73797,                0.42862,                 1.0389,               0.005908,               0.005908,               0.005908
                     64,                0.69633,                0.41723,                0.97031,                0.92707,                0.96076,                0.98442,                0.81464,                0.74235,                0.39866,                 1.0308,               0.005842,               0.005842,               0.005842
                     65,                0.68908,                0.40837,                0.96904,                0.90889,                 0.9321,                0.94313,                0.77325,                0.75696,                0.51157,                 1.0474,               0.005776,               0.005776,               0.005776
                     66,                0.67139,                0.40176,                0.96422,                0.91937,                 0.9363,                0.97479,                0.78999,                0.76809,                0.43349,                 1.0413,                0.00571,                0.00571,                0.00571
                     67,                0.66683,                0.38406,                0.95565,                0.93707,                0.96497,                0.97939,                0.81237,                0.72435,                0.39989,                 1.0228,               0.005644,               0.005644,               0.005644
                     68,                0.67712,                0.40601,                0.96008,                0.94319,                0.94376,                0.97611,                0.81185,                0.72377,                 0.4245,                 1.0222,               0.005578,               0.005578,               0.005578
                     69,                0.66627,                0.38709,                0.95784,                0.93797,                0.93993,                0.96996,                0.80239,                0.73246,                0.42376,                 1.0324,               0.005512,               0.005512,               0.005512
                     70,                0.66643,                  0.401,                0.95586,                0.93658,                0.93342,                0.98007,                 0.8091,                0.73106,                0.39846,                 1.0252,               0.005446,               0.005446,               0.005446
                     71,                0.67363,                0.39796,                0.95929,                0.92555,                 0.9355,                0.95165,                0.77049,                0.77911,                0.47068,                 1.0538,                0.00538,                0.00538,                0.00538
                     72,                0.67016,                0.39593,                0.95944,                0.94293,                0.94045,                0.96907,                0.80906,                0.70816,                 0.4236,                 1.0041,               0.005314,               0.005314,               0.005314
                     73,                0.65923,                0.39547,                0.95722,                0.96022,                0.95742,                0.98354,                 0.8225,                0.70196,                0.35305,                 1.0113,               0.005248,               0.005248,               0.005248
                     74,                0.66021,                0.38118,                0.95478,                0.93077,                0.95546,                0.97471,                0.80838,                0.72281,                0.41977,                 1.0202,               0.005182,               0.005182,               0.005182
                     75,                0.64702,                0.37632,                0.95286,                0.92331,                0.95572,                0.98049,                0.81556,                0.71795,                0.39614,                 1.0176,               0.005116,               0.005116,               0.005116
                     76,                0.65034,                0.37824,                0.95154,                0.95769,                0.93914,                0.98349,                 0.8152,                0.72548,                0.38024,                 1.0291,                0.00505,                0.00505,                0.00505
                     77,                0.64588,                 0.3709,                0.95278,                0.93659,                0.95794,                0.98407,                 0.8103,                 0.7306,                 0.3728,                 1.0289,               0.004984,               0.004984,               0.004984
                     78,                0.65098,                0.37862,                0.95446,                0.88516,                0.91442,                0.93726,                0.77221,                0.74439,                0.56064,                 1.0327,               0.004918,               0.004918,               0.004918
                     79,                0.64763,                0.37433,                0.95263,                0.94307,                 0.8948,                0.97639,                0.81038,                0.72903,                0.41711,                 1.0249,               0.004852,               0.004852,               0.004852
                     80,                0.64104,                0.36994,                0.94696,                0.93973,                0.95314,                0.97831,                0.81131,                0.72656,                0.38768,                 1.0288,               0.004786,               0.004786,               0.004786
                     81,                0.64699,                0.37472,                0.94945,                0.94737,                0.95085,                0.98057,                0.81538,                0.72982,                0.39759,                  1.027,                0.00472,                0.00472,                0.00472
                     82,                 0.6359,                0.36747,                0.94643,                0.91085,                0.92557,                0.93567,                0.78775,                0.71906,                0.54764,                 1.0144,               0.004654,               0.004654,               0.004654
                     83,                0.62716,                0.36088,                0.94492,                0.93659,                0.94481,                 0.9679,                0.81707,                0.70239,                0.42584,                 1.0044,               0.004588,               0.004588,               0.004588
                     84,                  0.637,                0.35731,                 0.9452,                0.94305,                0.95434,                 0.9828,                0.81549,                0.73796,                0.37649,                 1.0299,               0.004522,               0.004522,               0.004522
                     85,                0.62725,                0.35398,                0.94274,                0.96409,                0.96208,                0.98602,                0.82883,                0.70697,                0.34728,                 1.0134,               0.004456,               0.004456,               0.004456
                     86,                0.62965,                0.35451,                0.94063,                0.94158,                0.95926,                0.98319,                0.82142,                0.71346,                0.38014,                 1.0255,                0.00439,                0.00439,                0.00439
                     87,                0.61715,                 0.3569,                0.94164,                0.93828,                0.95321,                0.98377,                0.82213,                0.71462,                0.38593,                 1.0165,               0.004324,               0.004324,               0.004324
                     88,                0.62124,                0.35494,                0.94463,                0.93238,                0.95248,                0.98284,                0.82726,                0.69731,                0.38342,                 1.0077,               0.004258,               0.004258,               0.004258
                     89,                0.62434,                 0.3519,                0.94562,                0.91118,                 0.9422,                0.97339,                0.81299,                0.71261,                0.45491,                 1.0151,               0.004192,               0.004192,               0.004192
                     90,                0.62233,                0.34868,                 0.9415,                0.94966,                0.96691,                0.98531,                0.82569,                 0.7095,                0.35017,                 1.0157,               0.004126,               0.004126,               0.004126
                     91,                0.61399,                0.34289,                0.93451,                0.95783,                0.97182,                0.98645,                0.82883,                0.70389,                0.33005,                 1.0143,                0.00406,                0.00406,                0.00406
                     92,                0.61396,                0.34772,                0.93528,                0.95785,                0.97167,                0.98802,                 0.8269,                 0.7159,                0.33536,                 1.0184,               0.003994,               0.003994,               0.003994
                     93,                0.61606,                0.35118,                0.93766,                0.95436,                0.96318,                0.98545,                0.82393,                0.70735,                0.35679,                 1.0187,               0.003928,               0.003928,               0.003928
                     94,                0.61035,                0.33919,                0.93828,                 0.9264,                0.94259,                0.97752,                 0.8105,                 0.7208,                0.42708,                 1.0206,               0.003862,               0.003862,               0.003862
                     95,                0.60515,                0.33142,                0.93014,                0.95007,                0.95088,                0.98167,                0.81674,                0.73534,                0.38773,                  1.031,               0.003796,               0.003796,               0.003796
                     96,                0.60476,                 0.3327,                0.93473,                0.95494,                0.96654,                0.98677,                0.83251,                0.69631,                0.33407,                 1.0102,                0.00373,                0.00373,                0.00373
                     97,                0.60389,                0.32819,                0.93505,                0.93063,                0.94275,                0.96658,                0.80828,                0.71745,                0.44075,                 1.0209,               0.003664,               0.003664,               0.003664
                     98,                0.59962,                 0.3293,                0.93181,                0.94954,                 0.9551,                0.98283,                0.82107,                0.71493,                 0.3542,                 1.0164,               0.003598,               0.003598,               0.003598
                     99,                0.59601,                0.32836,                0.93081,                0.94547,                 0.9463,                0.98301,                0.82306,                0.70758,                0.36552,                 1.0172,               0.003532,               0.003532,               0.003532
                    100,                0.59117,                0.31959,                0.92678,                0.95519,                0.95157,                0.98336,                0.82099,                0.71125,                0.36692,                 1.0158,               0.003466,               0.003466,               0.003466
                    101,                0.59713,                 0.3243,                0.93034,                0.94299,                0.96161,                0.98488,                0.82879,                0.70636,                0.36553,                 1.0133,                 0.0034,                 0.0034,                 0.0034
                    102,                0.58737,                0.32223,                0.92624,                0.93508,                0.92887,                0.95986,                0.80984,                0.70657,                0.47115,                 1.0135,               0.003334,               0.003334,               0.003334
                    103,                0.58878,                0.32477,                0.92718,                0.95635,                0.95644,                0.98783,                0.83085,                0.70209,                0.33514,                  1.014,               0.003268,               0.003268,               0.003268
                    104,                0.58359,                0.32042,                 0.9262,                0.95652,                 0.9596,                0.98755,                 0.8267,                0.71557,                0.33728,                 1.0206,               0.003202,               0.003202,               0.003202
                    105,                0.58115,                0.31235,                0.92674,                0.94066,                0.94059,                0.97798,                0.81729,                0.72886,                0.40177,                 1.0284,               0.003136,               0.003136,               0.003136
                    106,                0.57416,                0.31673,                0.91796,                0.95121,                0.95625,                0.98629,                0.82823,                0.71896,                0.34387,                 1.0241,                0.00307,                0.00307,                0.00307
                    107,                0.57857,                0.31601,                0.91884,                0.93816,                0.94252,                0.97156,                0.81707,                0.72168,                0.41957,                 1.0227,               0.003004,               0.003004,               0.003004
                    108,                0.56351,                0.30447,                0.91733,                0.93678,                0.94614,                0.98305,                0.82659,                 0.7136,                0.39155,                 1.0147,               0.002938,               0.002938,               0.002938
                    109,                0.57529,                  0.306,                0.91908,                0.94653,                0.94365,                0.97907,                0.82763,                0.70476,                0.40044,                 1.0157,               0.002872,               0.002872,               0.002872
